model,template_id,triple,a,b,c,jacobi_norm,relative_jacobi_norm,null_mean_relative_jacobi_norm,null_std_relative_jacobi_norm,jacobi_to_null_mean_ratio,null_percentile_smaller_is_better
bert-base-uncased,0,NQM,N,Q,M,5.268154144287109,0.2796422839164734,0.31454208013415336,0.06798615089092253,0.8890457003282864,0.412
bert-base-uncased,0,NQT,N,Q,T,6.963470935821533,0.388783723115921,0.35997432002425195,0.07887516767538348,1.0800318286277981,0.689
bert-base-uncased,0,NMT,N,M,T,5.3875932693481445,0.29757463932037354,0.3783142617046833,0.11296032237354267,0.7865805480837974,0.378
bert-base-uncased,0,QMT,Q,M,T,5.031615257263184,0.2793874144554138,0.40987635573744774,0.08554069093293111,0.681638280773868,0.118
bert-base-uncased,1,NQM,N,Q,M,4.924224853515625,0.26788848638534546,0.31788727670907974,0.07985970857337098,0.8427153460113653,0.397
bert-base-uncased,1,NQT,N,Q,T,8.127425193786621,0.43965598940849304,0.356754307821393,0.09847208788227241,1.2323775207989134,0.822
bert-base-uncased,1,NMT,N,M,T,5.229210376739502,0.2908670902252197,0.38646164458990095,0.13155742549535057,0.7526415474765282,0.323
bert-base-uncased,1,QMT,Q,M,T,5.381486415863037,0.2961629033088684,0.4152899757027626,0.09236859373598895,0.7131472480330932,0.108
bert-base-uncased,2,NQM,N,Q,M,4.5807366371154785,0.2564723789691925,0.3210561121106148,0.0752297402490119,0.7988397332863427,0.29
bert-base-uncased,2,NQT,N,Q,T,6.357614040374756,0.364490807056427,0.3463782964646816,0.0666929409447361,1.052291124402305,0.577
bert-base-uncased,2,NMT,N,M,T,5.117340564727783,0.289105087518692,0.3441064562052488,0.0961439516109559,0.8401617647807504,0.386
bert-base-uncased,2,QMT,Q,M,T,4.9436821937561035,0.2809028625488281,0.4079171006679535,0.08954425157343557,0.6886273266998821,0.092
bert-base-uncased,3,NQM,N,Q,M,5.672654628753662,0.3063904047012329,0.3155498461872339,0.07559209430187763,0.970973075735435,0.524
bert-base-uncased,3,NQT,N,Q,T,7.134155750274658,0.3887576460838318,0.34023201835155487,0.08130349429001923,1.14262510614446,0.796
bert-base-uncased,3,NMT,N,M,T,5.372080326080322,0.29734668135643005,0.37822910070419313,0.12878530989942444,0.7861549542381562,0.419
bert-base-uncased,3,QMT,Q,M,T,5.287127494812012,0.29271113872528076,0.4312787556052208,0.08265725640850252,0.6787052107721735,0.088
bert-base-uncased,4,NQM,N,Q,M,5.6234564781188965,0.30235233902931213,0.3272218096703291,0.07849769754079702,0.9239981263260033,0.382
bert-base-uncased,4,NQT,N,Q,T,6.883429527282715,0.36883649230003357,0.31931257984042166,0.07917118114141351,1.1550954005107055,0.804
bert-base-uncased,4,NMT,N,M,T,5.324111461639404,0.33282536268234253,0.429750235915184,0.13977654932504746,0.774462315239438,0.287
bert-base-uncased,4,QMT,Q,M,T,5.07763671875,0.2809599041938782,0.4073715324103832,0.0884378821740417,0.6896895876124979,0.104
bert-base-uncased,5,NQM,N,Q,M,4.591223239898682,0.2423723042011261,0.2903053824156523,0.06885843253329271,0.8348873940382834,0.406
bert-base-uncased,5,NQT,N,Q,T,6.519053936004639,0.3530255854129791,0.32112917184829715,0.07792224546391521,1.0993258051892298,0.689
bert-base-uncased,5,NMT,N,M,T,5.2550859451293945,0.2929651439189911,0.3801919763833284,0.13134292332713363,0.7705716114925018,0.41
bert-base-uncased,5,QMT,Q,M,T,5.058931827545166,0.2754382789134979,0.3954278295338154,0.08501883856168271,0.6965576480480037,0.086
bert-base-uncased,6,NQM,N,Q,M,5.609559059143066,0.27268171310424805,0.29776274724304674,0.06758534456439558,0.9157683948984987,0.517
bert-base-uncased,6,NQT,N,Q,T,7.438276767730713,0.3701893091201782,0.3183424500823021,0.08486901285731081,1.1628650499589643,0.787
bert-base-uncased,6,NMT,N,M,T,5.491657733917236,0.27551978826522827,0.36395360445976255,0.11605808150223283,0.7570189850803684,0.267
bert-base-uncased,6,QMT,Q,M,T,5.200549125671387,0.25551190972328186,0.3705415132641792,0.0859909911559309,0.6895635187316352,0.104
bert-base-uncased,7,NQM,N,Q,M,4.455918788909912,0.24069277942180634,0.3141302984505892,0.07826865956946247,0.7662195611446238,0.197
bert-base-uncased,7,NQT,N,Q,T,6.84912633895874,0.37709176540374756,0.3389008994847536,0.07721062662592049,1.1126903645754396,0.681
bert-base-uncased,7,NMT,N,M,T,5.725223541259766,0.31979185342788696,0.4021694179922342,0.12539692089868384,0.7951670095244957,0.307
bert-base-uncased,7,QMT,Q,M,T,5.340340614318848,0.2861829996109009,0.39799420553445813,0.09192726993730863,0.7190632316515077,0.12
bert-base-uncased,8,NQM,N,Q,M,5.656302452087402,0.2873261868953705,0.2999081012159586,0.07203898459187655,0.9580474342955939,0.676
bert-base-uncased,8,NQT,N,Q,T,7.462715148925781,0.3859241008758545,0.3370195347070694,0.08471649243014616,1.1451089955665237,0.795
bert-base-uncased,8,NMT,N,M,T,5.257263660430908,0.27254608273506165,0.3417388122826815,0.10666263965609786,0.7975274476836944,0.411
bert-base-uncased,8,QMT,Q,M,T,5.288354396820068,0.2719927728176117,0.39369783398509023,0.08829729288721318,0.6908668256153564,0.112
bert-base-uncased,9,NQM,N,Q,M,4.813106060028076,0.257790207862854,0.3050203460454941,0.06747263748998375,0.8451574172155689,0.391
bert-base-uncased,9,NQT,N,Q,T,6.490584373474121,0.3592374622821808,0.3318396209329367,0.0747403796858271,1.0825635024266693,0.606
bert-base-uncased,9,NMT,N,M,T,4.907179832458496,0.27798524498939514,0.37243085843324664,0.12249165209495062,0.7464076584794436,0.301
bert-base-uncased,9,QMT,Q,M,T,5.331151485443115,0.29008790850639343,0.40792115139961244,0.0843969451269796,0.711137207547012,0.089
bert-base-uncased,10,NQM,N,Q,M,4.741535663604736,0.2567055821418762,0.30263444358110425,0.07589822125682283,0.8482365031005878,0.383
bert-base-uncased,10,NQT,N,Q,T,6.980298042297363,0.3850659132003784,0.3404992249757052,0.08132771452313552,1.1308863132558444,0.807
bert-base-uncased,10,NMT,N,M,T,5.044168472290039,0.29538634419441223,0.4077635893970728,0.14362824478890998,0.7244058858478557,0.301
bert-base-uncased,10,QMT,Q,M,T,5.594428539276123,0.306694358587265,0.40798709082603457,0.08250286102972584,0.7517256439794748,0.101
bert-base-uncased,11,NQM,N,Q,M,5.461961269378662,0.2779388129711151,0.3087333202213049,0.0731747620992944,0.9002553166952759,0.504
bert-base-uncased,11,NQT,N,Q,T,7.17899227142334,0.37419065833091736,0.33523305991292,0.08132421654367736,1.1162104907761805,0.787
