model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
distilbert-base-multilingual-cased,10.0,en,linear,NQ_minus_QN,4,1.721528075501105,0.988384945196685,0.9998720030797515,8.754221268011784e-05,0.0033222591362126247,-0.06377289275248542,0.08320803091925472,-0.009444979392524479,-0.01368796734492725
distilbert-base-multilingual-cased,10.0,en,linear,NM_minus_MN,4,1.603975581258483,0.9986601448071307,0.999879476803629,8.778385704991831e-05,0.0033222591362126247,-0.032174679570247486,0.009418475416598168,0.012096618611472161,0.0087624125268551
distilbert-base-multilingual-cased,10.0,en,linear,NT_minus_TN,4,1.4725805855569816,0.9926363945709491,0.999883603773352,8.407208447569257e-05,0.0033222591362126247,-0.06752364220827273,0.02922097211846439,-0.007749361092120839,0.045385331180204845
distilbert-base-multilingual-cased,10.0,en,linear,QM_minus_MQ,4,1.7659968722407542,0.9784757233370267,0.999882659313919,8.041361901325125e-05,0.0033222591362126247,0.05908273609674746,-0.11672806352367238,0.0438875692439843,0.0161089673196127
distilbert-base-multilingual-cased,10.0,en,linear,QT_minus_TQ,4,1.6902391427507575,0.9884917892789643,0.9998754755252977,8.107093741000708e-05,0.0033222591362126247,0.0459536670609619,-0.0820244363739518,-0.0015911640975397854,0.0416263469291532
distilbert-base-multilingual-cased,10.0,en,linear,MT_minus_TM,4,1.6077625154804702,0.9973915813437688,0.9998814487815093,8.52009257063139e-05,0.0033222591362126247,-0.016784909631630363,0.02067155819414275,-0.02573156111255531,0.022853741229323057
distilbert-base-multilingual-cased,10.0,en,affine,NQ_minus_QN,4,1.5897807575991907,0.970439892125118,0.9998777863628504,9.113409966459184e-05,0.0033222591362126247,-0.10997543327396855,0.1458356362341212,-0.014465411601066772,-0.026480673083744195
distilbert-base-multilingual-cased,10.0,en,affine,NM_minus_MN,4,1.570681417692825,0.9992635781112916,0.9998770104134432,8.605552462879313e-05,0.0033222591362126247,-0.019304440849901013,-0.003307858346698162,0.012889823188610953,0.008353242094947212
distilbert-base-multilingual-cased,10.0,en,affine,NT_minus_TN,4,1.4149133895002193,0.9960370929414155,0.9998633445391818,9.880871777865832e-05,0.0033222591362126247,-0.04964756179047804,0.024620782990576497,-0.007953043122200916,0.032494569065164465
distilbert-base-multilingual-cased,10.0,en,affine,QM_minus_MQ,4,1.6680822845401655,0.9760627849318773,0.9998872302647368,8.136520535647849e-05,0.0033222591362126247,0.06308049147050299,-0.13814198063698432,0.05424825136106014,0.024323873564275955
distilbert-base-multilingual-cased,10.0,en,affine,QT_minus_TQ,4,1.5326347394928677,0.9790181974639648,0.9998762391553151,8.77320690992769e-05,0.0033222591362126247,0.0397393108136506,-0.11863800784323422,0.0004901713360304744,0.08342517188474452
distilbert-base-multilingual-cased,10.0,en,affine,MT_minus_TM,4,1.5801594076549084,0.9975551014334826,0.9998865450410858,8.00807831152193e-05,0.0033222591362126247,-0.011764405610672176,0.02847848560648228,-0.02679448909414031,0.010709051340905702
distilbert-base-multilingual-cased,10.0,es,linear,NQ_minus_QN,4,1.7808895444438972,0.9843105530958014,0.9998791697500352,8.631234127868557e-05,0.0033222591362126247,-0.05818679993224589,0.09998528573057981,-0.009789257074912685,-0.03775238953016927
distilbert-base-multilingual-cased,10.0,es,linear,NM_minus_MN,4,1.6711606768456697,0.9993707361903791,0.9998772768907801,8.457931012091283e-05,0.0033222591362126247,-0.018083929447500743,-0.004108321220118965,0.012192333515387895,0.009446188830581457
distilbert-base-multilingual-cased,10.0,es,linear,NT_minus_TN,4,1.598243095698341,0.9952263965798288,0.9998767622981087,8.753003056815982e-05,0.0033222591362126247,-0.047711105234064785,0.009392566157980932,-0.013447089285261228,0.051725037419479196
distilbert-base-multilingual-cased,10.0,es,linear,QM_minus_MQ,4,1.849465485673641,0.9758412766908637,0.9998737909507418,9.09419298606667e-05,0.0033222591362126247,0.05253020939197835,-0.12633432007665146,0.048986172494689166,0.029625505670790035
distilbert-base-multilingual-cased,10.0,es,linear,QT_minus_TQ,4,1.7916840939317695,0.9847765320646373,0.9998814841513247,8.914996787599807e-05,0.0033222591362126247,0.05506375227635771,-0.09608702950699684,-0.004314200846156033,0.05196054312925828
distilbert-base-multilingual-cased,10.0,es,linear,MT_minus_TM,4,1.7061022254165568,0.9976060779833674,0.9998726286574441,8.945894034649262e-05,0.0033222591362126247,-0.01903212266036583,0.017874082774152325,-0.024406965181247055,0.025540735776406347
distilbert-base-multilingual-cased,10.0,es,affine,NQ_minus_QN,4,1.648167801948145,0.9689462829324815,0.9998783228775665,8.916357583642894e-05,0.0033222591362126247,-0.10486606277550234,0.15281096775815978,-0.011547773806651984,-0.04289084504323612
distilbert-base-multilingual-cased,10.0,es,affine,NM_minus_MN,4,1.6418336243555467,0.9993751976900973,0.9998778502407147,8.980259144555923e-05,0.0033222591362126247,-0.005429021663158266,-0.014353223570083048,0.013570698894223333,0.00579707208827344
