gain_sweep,layer,source_set,prompt_style,control,target_marker_rate,question_mark_rate,mean_content_preservation,target_and_preserved_rate,other_marker_rate,rows
0.5,2,out_of_template_freeform,same_sentence,random_norm,0.075,0.0,0.975,0.0,0.075,40
0.5,2,out_of_template_freeform,same_sentence,target,0.35,0.325,0.9833333333333334,0.3,0.05,40
0.5,2,out_of_template_freeform,same_sentence,wrong_class,0.0,0.0,1.0,0.0,0.0,40
0.5,3,in_template_test,copy_sentence,negative_target,0.15,0.0,0.8916666666666666,0.0,0.15,40
0.5,3,in_template_test,copy_sentence,none,0.05,0.0,0.825,0.0,0.05,40
0.5,3,in_template_test,copy_sentence,random_norm,0.15,0.0,0.8083333333333333,0.0,0.15,40
0.5,3,in_template_test,copy_sentence,target,0.025,0.0,0.65,0.0,0.025,40
0.5,3,in_template_test,copy_sentence,wrong_class,0.075,0.0,0.8833333333333334,0.0,0.075,40
0.5,3,in_template_test,repeat_sentence,negative_target,0.15,0.0,0.9083333333333334,0.0,0.15,40
0.5,3,in_template_test,repeat_sentence,none,0.125,0.0,0.9166666666666666,0.0,0.125,40
0.5,3,in_template_test,repeat_sentence,random_norm,0.15,0.0,0.8833333333333334,0.0,0.15,40
0.5,3,in_template_test,repeat_sentence,target,0.075,0.0,0.925,0.0,0.075,40
0.5,3,in_template_test,repeat_sentence,wrong_class,0.125,0.0,0.9,0.0,0.125,40
0.5,3,in_template_test,same_sentence,negative_target,0.1,0.0,0.9333333333333333,0.0,0.1,40
0.5,3,in_template_test,same_sentence,none,0.0,0.0,1.0,0.0,0.0,40
0.5,3,in_template_test,same_sentence,random_norm,0.025,0.0,0.9833333333333334,0.0,0.025,40
0.5,3,in_template_test,same_sentence,target,0.0,0.0,1.0,0.0,0.0,40
0.5,3,in_template_test,same_sentence,wrong_class,0.025,0.0,0.9833333333333334,0.0,0.025,40
0.5,3,out_of_template_freeform,copy_sentence,negative_target,0.25,0.0,0.8166666666666667,0.0,0.25,40
0.5,3,out_of_template_freeform,copy_sentence,none,0.175,0.0,0.75,0.025,0.175,40
0.5,3,out_of_template_freeform,copy_sentence,random_norm,0.175,0.0,0.65,0.0,0.2,40
0.5,3,out_of_template_freeform,copy_sentence,target,0.025,0.025,0.4583333333333333,0.0,0.05,40
0.5,3,out_of_template_freeform,copy_sentence,wrong_class,0.15,0.0,0.8083333333333333,0.0,0.175,40
0.5,3,out_of_template_freeform,repeat_sentence,negative_target,0.175,0.0,0.8583333333333334,0.0,0.2,40
0.5,3,out_of_template_freeform,repeat_sentence,none,0.075,0.0,0.9166666666666666,0.0,0.1,40
0.5,3,out_of_template_freeform,repeat_sentence,random_norm,0.125,0.0,0.8666666666666666,0.0,0.15,40
0.5,3,out_of_template_freeform,repeat_sentence,target,0.05,0.0,0.9666666666666666,0.0,0.05,40
0.5,3,out_of_template_freeform,repeat_sentence,wrong_class,0.075,0.0,0.9333333333333333,0.0,0.075,40
0.5,3,out_of_template_freeform,same_sentence,negative_target,0.125,0.0,0.9083333333333334,0.0,0.125,40
0.5,3,out_of_template_freeform,same_sentence,none,0.0,0.0,1.0,0.0,0.0,40
0.5,3,out_of_template_freeform,same_sentence,random_norm,0.05,0.0,0.975,0.0,0.05,40
0.5,3,out_of_template_freeform,same_sentence,target,0.0,0.0,0.9916666666666666,0.0,0.0,40
0.5,3,out_of_template_freeform,same_sentence,wrong_class,0.0,0.0,1.0,0.0,0.0,40
0.5,4,in_template_test,copy_sentence,negative_target,0.2,0.0,0.875,0.0,0.2,40
0.5,4,in_template_test,copy_sentence,none,0.05,0.0,0.825,0.0,0.05,40
0.5,4,in_template_test,copy_sentence,random_norm,0.125,0.0,0.85,0.0,0.125,40
0.5,4,in_template_test,copy_sentence,target,0.1,0.0,0.625,0.0,0.1,40
0.5,4,in_template_test,copy_sentence,wrong_class,0.15,0.0,0.7666666666666667,0.0,0.15,40
0.5,4,in_template_test,repeat_sentence,negative_target,0.175,0.0,0.8833333333333334,0.0,0.175,40
0.5,4,in_template_test,repeat_sentence,none,0.125,0.0,0.9166666666666666,0.0,0.125,40
0.5,4,in_template_test,repeat_sentence,random_norm,0.15,0.0,0.925,0.0,0.15,40
0.5,4,in_template_test,repeat_sentence,target,0.1,0.0,0.9,0.0,0.1,40
0.5,4,in_template_test,repeat_sentence,wrong_class,0.125,0.0,0.9,0.0,0.125,40
0.5,4,in_template_test,same_sentence,negative_target,0.025,0.0,0.9833333333333334,0.0,0.025,40
0.5,4,in_template_test,same_sentence,none,0.0,0.0,1.0,0.0,0.0,40
0.5,4,in_template_test,same_sentence,random_norm,0.0,0.0,1.0,0.0,0.0,40
0.5,4,in_template_test,same_sentence,target,0.0,0.0,1.0,0.0,0.0,40
0.5,4,in_template_test,same_sentence,wrong_class,0.0,0.0,1.0,0.0,0.0,40
0.5,4,out_of_template_freeform,copy_sentence,negative_target,0.15,0.0,0.825,0.0,0.15,40
0.5,4,out_of_template_freeform,copy_sentence,none,0.175,0.0,0.75,0.025,0.175,40
0.5,4,out_of_template_freeform,copy_sentence,random_norm,0.2,0.0,0.725,0.0,0.2,40
0.5,4,out_of_template_freeform,copy_sentence,target,0.075,0.0,0.5916666666666667,0.0,0.075,40
0.5,4,out_of_template_freeform,copy_sentence,wrong_class,0.175,0.0,0.7416666666666667,0.025,0.175,40
0.5,4,out_of_template_freeform,repeat_sentence,negative_target,0.175,0.0,0.875,0.0,0.2,40
0.5,4,out_of_template_freeform,repeat_sentence,none,0.075,0.0,0.9166666666666666,0.0,0.1,40
0.5,4,out_of_template_freeform,repeat_sentence,random_norm,0.125,0.0,0.8833333333333334,0.0,0.15,40
0.5,4,out_of_template_freeform,repeat_sentence,target,0.05,0.0,0.975,0.0,0.05,40
0.5,4,out_of_template_freeform,repeat_sentence,wrong_class,0.075,0.0,0.9583333333333334,0.0,0.075,40
0.5,4,out_of_template_freeform,same_sentence,negative_target,0.025,0.0,0.9666666666666666,0.0,0.025,40
0.5,4,out_of_template_freeform,same_sentence,none,0.0,0.0,1.0,0.0,0.0,40
0.5,4,out_of_template_freeform,same_sentence,random_norm,0.05,0.0,0.975,0.0,0.05,40
0.5,4,out_of_template_freeform,same_sentence,target,0.0,0.0,1.0,0.0,0.0,40
0.5,4,out_of_template_freeform,same_sentence,wrong_class,0.0,0.0,1.0,0.0,0.0,40
0.5,5,in_template_test,copy_sentence,negative_target,0.125,0.0,0.725,0.0,0.125,40
0.5,5,in_template_test,copy_sentence,none,0.05,0.0,0.825,0.0,0.05,40
0.5,5,in_template_test,copy_sentence,random_norm,0.05,0.0,0.825,0.0,0.05,40
0.5,5,in_template_test,copy_sentence,target,0.025,0.0,0.8583333333333334,0.0,0.025,40
0.5,5,in_template_test,copy_sentence,wrong_class,0.125,0.0,0.7916666666666667,0.0,0.125,40
0.5,5,in_template_test,repeat_sentence,negative_target,0.15,0.0,0.9083333333333334,0.0,0.15,40
0.5,5,in_template_test,repeat_sentence,none,0.125,0.0,0.9166666666666666,0.0,0.125,40
0.5,5,in_template_test,repeat_sentence,random_norm,0.1,0.0,0.9333333333333333,0.0,0.1,40
0.5,5,in_template_test,repeat_sentence,target,0.1,0.0,0.9083333333333334,0.0,0.1,40
0.5,5,in_template_test,repeat_sentence,wrong_class,0.125,0.0,0.9,0.0,0.125,40
0.5,5,in_template_test,same_sentence,negative_target,0.0,0.0,1.0,0.0,0.0,40
0.5,5,in_template_test,same_sentence,none,0.0,0.0,1.0,0.0,0.0,40
0.5,5,in_template_test,same_sentence,random_norm,0.0,0.0,1.0,0.0,0.0,40
0.5,5,in_template_test,same_sentence,target,0.0,0.0,1.0,0.0,0.0,40
0.5,5,in_template_test,same_sentence,wrong_class,0.0,0.0,1.0,0.0,0.0,40
0.5,5,out_of_template_freeform,copy_sentence,negative_target,0.175,0.0,0.75,0.025,0.175,40
0.5,5,out_of_template_freeform,copy_sentence,none,0.175,0.0,0.75,0.025,0.175,40
0.5,5,out_of_template_freeform,copy_sentence,random_norm,0.175,0.0,0.7166666666666667,0.025,0.175,40
0.5,5,out_of_template_freeform,copy_sentence,target,0.125,0.0,0.75,0.0,0.125,40
0.5,5,out_of_template_freeform,copy_sentence,wrong_class,0.15,0.0,0.7333333333333333,0.0,0.15,40
0.5,5,out_of_template_freeform,repeat_sentence,negative_target,0.1,0.0,0.9083333333333334,0.0,0.125,40
0.5,5,out_of_template_freeform,repeat_sentence,none,0.075,0.0,0.9166666666666666,0.0,0.1,40
0.5,5,out_of_template_freeform,repeat_sentence,random_norm,0.125,0.0,0.9416666666666667,0.0,0.125,40
0.5,5,out_of_template_freeform,repeat_sentence,target,0.1,0.0,0.9083333333333334,0.0,0.1,40
0.5,5,out_of_template_freeform,repeat_sentence,wrong_class,0.1,0.0,0.9166666666666666,0.0,0.125,40
0.5,5,out_of_template_freeform,same_sentence,negative_target,0.0,0.0,1.0,0.0,0.0,40
0.5,5,out_of_template_freeform,same_sentence,none,0.0,0.0,1.0,0.0,0.0,40
0.5,5,out_of_template_freeform,same_sentence,random_norm,0.0,0.0,1.0,0.0,0.0,40
0.5,5,out_of_template_freeform,same_sentence,target,0.0,0.0,1.0,0.0,0.0,40
0.5,5,out_of_template_freeform,same_sentence,wrong_class,0.0,0.0,1.0,0.0,0.0,40
